datetime,symbol,side,dca_level,price,qty_usdt,avg_entry,pnl_usdt,pnl_pct,reason
2026-03-25 09:43:52,SOLUSDT,BUY,0,91.080000,60.00,91.080000,0.0000,0.00,dca_level_0
2026-03-25 09:44:10,SOLUSDT,SELL,1,89.270000,60.00,91.080000,-1.1765,-1.96,signal
2026-03-25 09:48:33,ETHUSDT,BUY,0,2151.840000,60.00,2151.840000,0.0000,0.00,dca_level_0
2026-03-25 09:49:23,ETHUSDT,SELL,1,2157.600000,60.00,2151.840000,0.1601,0.27,bb_midline
2026-03-25 09:52:41,ADAUSDT,BUY,0,0.263000,60.00,0.263000,0.0000,0.00,dca_level_0
2026-03-25 09:52:57,ADAUSDT,SELL,1,0.268000,60.00,0.263000,1.1485,1.91,bb_midline
2026-03-25 09:56:10,ETHUSDT,BUY,0,2163.360000,60.00,2163.360000,0.0000,0.00,dca_level_0
2026-03-25 09:56:26,ETHUSDT,SELL,1,2163.360000,60.00,2163.360000,0.0000,0.00,bb_midline
2026-03-25 10:01:26,SOLUSDT,BUY,0,91.500000,60.00,91.500000,0.0000,0.00,dca_level_0
2026-03-25 10:03:28,SOLUSDT,SELL,1,94.040000,60.00,91.500000,1.6510,2.75,trail_stop
2026-03-25 10:04:33,ETHUSDT,BUY,0,2151.840000,60.00,2151.840000,0.0000,0.00,dca_level_0
2026-03-25 10:04:34,SOLUSDT,BUY,0,90.000000,60.00,90.000000,0.0000,0.00,dca_level_0
